ags,gen,lon,lat,distance_pck_km,centroid_distance_pck_km,municipality,SPD_2019_pct,SPD_2024_pct,SPD_change_pp,CDU_2019_pct,CDU_2024_pct,CDU_change_pp,Greens_2019_pct,Greens_2024_pct,Greens_change_pp,FDP_2019_pct,FDP_2024_pct,FDP_change_pp,AfD_2019_pct,AfD_2024_pct,AfD_change_pp,Left_2019_pct,Left_2024_pct,Left_change_pp,turnout_2019_pct,turnout_2024_pct,turnout_change_pp,eligible_2019,eligible_2024,valid_2019,valid_2024
12067036,Beeskow,14.2477387906206,52.18773195269967,100.10097751300471,101.46817534649033,"Beeskow, Stadt",26.383526383526384,28.311362209667294,1.9278358261409103,15.160875160875161,10.88093743460975,-4.279937726265411,7.181467181467181,2.197112366603892,-4.9843548148632895,3.552123552123552,0.5231219920485457,-3.0290015600750064,27.74774774774775,35.92801841389412,8.180270666146374,10.759330759330759,2.7202343586524376,-8.039096400678321,58.34441980783444,70.03777971519906,11.693359907364623,6765,6882,3885,4779
12067040,Berkenbrück,14.167980128217636,52.3508510724435,82.09196764773435,82.35338400848501,Berkenbrück,27.312775330396477,25.0,-2.3127753303964766,11.674008810572687,7.971014492753623,-3.702994317819064,7.2687224669603525,1.4492753623188406,-5.819447104641512,2.643171806167401,0.7246376811594203,-1.9185341250079806,30.837004405286343,44.20289855072464,13.365894145438297,8.810572687224669,0.9057971014492754,-7.904775585775393,52.72938443670151,61.00766703176342,8.27828259506191,861,913,454,552
12067072,Briesen (Mark),14.268675989673833,52.346614281366975,82.4518963288985,82.75582453679715,Briesen (Mark),24.868189806678384,26.58326817826427,1.7150783715858857,15.55360281195079,9.616888193901486,-5.9367146180493044,5.975395430579965,2.580140734949179,-3.3952546956307863,4.393673110720562,0.1563721657544957,-4.237300944966067,30.84358523725835,38.623924941360436,7.7803397041020865,8.523725834797892,1.6419077404222049,-6.881818094375687,48.0,52.357723577235774,4.357723577235774,2400,2460,1138,1279
12067076,Brieskow-Finkenheerd,14.578401000840808,52.26277310146307,94.59136015774916,94.78110188641672,Brieskow-Finkenheerd,23.795761078998073,26.75438596491228,2.958624885914208,15.1252408477842,8.771929824561404,-6.353311023222796,4.431599229287091,1.0526315789473684,-3.378967650339723,3.371868978805395,0.43859649122807015,-2.933272487577325,35.35645472061657,44.473684210526315,9.117229489909747,8.863198458574182,1.3157894736842106,-7.547408984889971,52.286282306163024,57.89738430583501,5.6111019996719875,2012,1988,1038,1140
12067112,Diensdorf-Radlow,14.075798480714134,52.23950667182217,94.97723684729313,95.01407052732814,Diensdorf-Radlow,22.22222222222222,26.04501607717042,3.8227938549481983,16.129032258064516,13.82636655948553,-2.302665698578986,7.168458781362007,2.8938906752411575,-4.274568106120849,4.301075268817204,0.9646302250803859,-3.336445043736818,30.82437275985663,37.62057877813505,6.7962060182784185,10.394265232974911,1.9292604501607717,-8.46500478281414,54.75728155339806,59.847036328871894,5.0897547754738355,515,523,279,311
12067120,Eisenhüttenstadt,14.648656370666602,52.161761958445794,106.6691440499831,107.17255952019156,"Eisenhüttenstadt, Stadt",27.798198860503582,29.817315329626688,2.019116469123105,12.865282117257857,8.474980142970612,-4.390301974287246,4.686638485572505,1.1517077045274027,-3.5349307810451025,3.225510016541077,0.6036536934074662,-2.6218563231336107,30.031244256570485,36.51310563939634,6.481861382825858,11.643080316118361,2.454328832406672,-9.18875148371169,51.48017129026252,64.91933431726805,13.439163027005534,21484,19649,10882,12590
12067124,Erkner,13.76092979540848,52.411692280183075,81.79788321881152,81.65904499838969,"Erkner, Stadt",27.3453787352328,29.387814453977025,2.042435718744226,10.180681028492009,9.975279918569143,-0.20540110992286564,10.059068797776234,3.722553438999564,-6.336515358776671,3.092425295343989,0.7270612185546023,-2.3653640767893864,21.73384294649062,28.893412825359896,7.159569878869277,16.626129256428076,3.8388832339683003,-12.787246022459776,57.504950495049506,70.53262858304534,13.027678087995831,10100,9838,5756,6877
12067137,Friedland,14.333257889360372,52.08788376892495,111.39110398895409,110.81751126646564,"Friedland, Stadt",24.767123287671232,29.19528949950932,4.428166211838089,19.123287671232877,11.678115799803729,-7.445171871429148,5.972602739726027,1.913640824337586,-4.0589619153884415,2.958904109589041,0.3434739941118744,-2.6154301154771664,30.08219178082192,37.43866535819431,7.3564735773723875,8.219178082191782,1.5701668302257115,-6.64901125196607,71.6944552151997,80.04667444574096,8.352219230541266,2579,2571,1825,2038
12067144,Fürstenwalde/Spree,14.064458210359183,52.374818118009784,80.1520883500112,80.27006611494983,"Fürstenwalde/Spree, Stadt",22.50545681322108,26.21974401216576,3.714287198944678,12.870283754287495,9.776961094918262,-3.0933226593692336,8.777673838478329,2.711950323152959,-6.06572351532537,4.108200810726536,0.7286782410340895,-3.3795225696924462,26.75397567820393,33.06298314535547,6.309007467151538,11.638603055815404,3.1998479280192624,-8.438755127796142,50.35106094107607,63.57216947259236,13.221108531516286,25779,25066,12828,15782
12067173,Gosen-Neu Zittau,13.760421842194399,52.37950935547153,85.11769804457958,85.37817416910329,Gosen-Neu Zittau,25.991561181434598,24.802867383512545,-1.1886937979220527,9.70464135021097,6.236559139784946,-3.468082210426024,6.4978902953586495,2.2222222222222223,-4.275668073136427,1.8565400843881856,0.2867383512544803,-1.5698017331337053,30.717299578059073,42.65232974910394,11.935030171044868,10.970464135021096,2.867383512544803,-8.103080622476293,44.74766355140187,50.958408679927665,6.210745128525794,2675,2765,1185,1395
